pl_name,rastr,decstr,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_distlim,ml_dists,ml_distserr1,ml_distserr2,ml_distslim,ml_tsepmin,ml_tsepminerr1,ml_tsepminerr2,ml_tsepminlim,ml_sepminnorm,ml_sepminnormerr1,ml_sepminnormerr2,ml_sepminnormlim,ml_xtimeein,ml_xtimeeinerr1,ml_xtimeeinerr2,ml_xtimeeinlim,ml_radsnorm,ml_radsnormerr1,ml_radsnormerr2,ml_radsnormlim,ml_sepinsnorp,ml_sepinsnorperr1,ml_sepinsnorperr2,ml_sepinsnorplim,ml_massratio,ml_massratioerr1,ml_massratioerr2,ml_massratiolim,ml_angstlax,ml_angstlaxerr1,ml_angstlaxerr2,ml_angstlaxlim,ml_magis,ml_magiserr1,ml_magiserr2,ml_magislim,ml_magibl,ml_magiblerr1,ml_magiblerr2,ml_magibllim,ml_radeinang,ml_radeinangerr1,ml_radeinangerr2,ml_radeinanglim,ml_pmrells,ml_pmrellserr1,ml_pmrellserr2,ml_pmrellslim,ml_modeldef
OGLE-2005-BLG-071L b,17h50m09.77s,-34d40m23.5s,1100.0,100.0,-100.0,0,3.4,0.3,-0.3,0,2.1,0.1,-0.1,0,0.46,0.04,-0.04,0.0,3100.0,300.0,-300.0,0.0,8600.0,,,0.0,2453480.6793,0.0042,-0.0051,0.0,-0.0245,0.0006000000000000001,-0.0006000000000000001,0.0,68.2,1.8,-1.5,0.0,0.6,0.04,-0.04,0.0,0.762,0.004,-0.006,0.0,71.0,3.0,-3.0,0.0,1.495,0.008,-0.004,0.0,19.5,0.02,-0.02,0.0,21.36,0.18,-0.18,0.0,0.87,0.04,-0.04,0.0,,,,,0
MOA-2012-BLG-505L b,17h52m34.34s,-32d02m24.33s,6.7,10.61,-3.51,0,0.0211,0.0334,-0.011000000000000001,0,0.9,0.25,-0.21,0,0.1,0.16,-0.05,0.0,7210.0,1140.0,-1110.0,0.0,,,,,2456136.0558,0.0005,-0.0005,0.0,0.0076002000000000005,0.0008568,-0.0008568,0.0,9.8335,1.0506,-1.0506,0.0,2.8322000000000003,0.3703,-0.3703,0.0,1.1266,0.0653,-0.0653,0.0,2.0521,0.5528,-0.5528,0.0,2.3782,0.016,-0.016,0.0,21.29,0.13,-0.13,0.0,,,,,0.121,0.024,-0.024,0.0,4.3971,0.7196,-0.7196,0.0,1
OGLE-2012-BLG-0026L b,17h34m18.70s,-27d08m33.9s,35.0,6.0,-6.0,0,0.11,0.02,-0.02,0,3.8200000000000003,0.3,-0.3,0,0.8200000000000001,0.13,-0.13,0.0,4080.0,300.0,-300.0,0.0,8130.0,,,0.0,2455991.52,0.01,-0.01,0.0,0.0092,0.0001,-0.0001,0.0,93.92,0.58,-0.58,0.0,1.72,0.01,-0.01,0.0,1.034,0.001,-0.001,0.0,1.3,0.01,-0.01,0.0,4.999,0.001,-0.001,0.0,,,,,,,,,0.91,0.09,-0.09,0.0,,,,,0
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,1.43,0.45,-0.32,0,0.0045000000000000005,0.0014,-0.001,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0.0,3910.0,420.0,-460.0,0.0,,,,,2457568.7694,0.0013,-0.0013,0.0,-0.0533,0.00073,-0.00073,0.0,9.94,0.11,-0.11,0.0,2.86,0.34,-0.43,0.0,1.0856,0.0082,-0.007500000000000001,0.0,0.56,0.08600000000000001,-0.07,0.0,-0.969,0.0022,-0.0022,0.0,18.99,0.02,-0.02,0.0,,,,,0.28600000000000003,0.053,-0.038,0.0,8.7,1.6,-1.2,0.0,0
OGLE-2016-BLG-1190L b,17h58m52.30s,-27d36m48.8s,4253.0,280.0,-260.0,0,13.38,0.88,-0.8200000000000001,0,2.17,1.87,-0.38,0,0.88,0.060000000000000005,-0.05,0.0,6770.0,80.0,-90.0,0.0,8700.0,,,0.0,2457582.157,0.007,-0.007,0.0,-0.01797,0.00023,-0.00023,0.0,93.532,0.891,-0.891,0.0,0.93,0.044000000000000004,-0.044000000000000004,0.0,0.604,0.002,-0.002,0.0,144.6,1.9,-1.9,0.0,0.038,0.005,-0.005,0.0,,,,,,,,,0.49,0.04,-0.04,0.0,,,,,1
OGLE-2018-BLG-0740L b,18h08m42.47s,-29d50m08.9s,350.0,200.0,-200.0,0,1.1,0.7000000000000001,-0.6,0,2.0,0.2,-0.3,0,0.47000000000000003,0.31,-0.24000000000000002,0.0,7200.0,900.0,-1000.0,0.0,8000.0,,,0.0,2458254.351,0.029,-0.029,0.0,0.038,0.003,-0.003,0.0,65.64,3.47,-3.47,0.0,0.85,0.08,-0.08,0.0,1.18,0.01,-0.01,0.0,21.3,1.7000000000000002,-1.7000000000000002,0.0,2.508,0.008,-0.008,0.0,21.54,0.01,-0.01,0.0,17.13,,,0.0,0.28,0.04,-0.04,0.0,1.65,0.23,-0.23,0.0,0
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,871.0,709.0,-480.0,0,2.74,2.23,-1.51,0,4.19,1.8399999999999999,-1.67,0,0.8,0.65,-0.43,0.0,3190.0,1400.0,-1270.0,0.0,,,,,2457494.153,0.048,-0.048,0.0,0.021,0.001,-0.001,0.0,74.62,1.69,-1.69,0.0,0.22,0.02,-0.02,0.0,1.168,0.008,-0.008,0.0,32.7,2.4,-2.4,0.0,5.332,0.016,-0.016,0.0,23.0,0.05,-0.05,0.0,19.5,,,0.0,1.15,0.22,-0.22,0.0,5.64,1.11,-1.11,0.0,0
OGLE-2018-BLG-1700L b,17h59m49.45s,-28d31m43.10s,1400.0,966.0,-636.0,0,4.4,3.04,-2.0,0,2.8,3.2,-2.5,0,0.42,0.29,-0.19,0.0,7600.0,1200.0,-900.0,0.0,10700.0,2200.0,-1500.0,0.0,2458385.827,0.065,-0.065,0.0,0.0067,0.00087,-0.00087,0.0,41.91,0.8200000000000001,-0.8200000000000001,0.0,0.9500000000000001,0.07,-0.07,0.0,1.184,0.003,-0.003,0.0,100.0,10.0,-10.0,0.0,3.368,0.007,-0.007,0.0,21.08,0.01,-0.01,0.0,,,,,0.37,0.030000000000000002,-0.030000000000000002,0.0,3.13,0.3,-0.3,0.0,1
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,1330.0,1010.0,-772.0,0,4.18,3.19,-2.43,0,6.4,2.51,-2.63,0,0.72,0.55,-0.42,0.0,3410.0,1340.0,-1420.0,0.0,,,,,2457490.135,0.063,-0.063,0.0,0.048,0.001,-0.001,0.0,51.45,0.41000000000000003,-0.41000000000000003,0.0,0.3,0.030000000000000002,-0.030000000000000002,0.0,1.064,0.001,-0.001,0.0,55.4,1.3,-1.3,0.0,4.672,0.011000000000000001,-0.011000000000000001,0.0,22.25,0.02,-0.02,0.0,19.55,,,0.0,1.2,0.24000000000000002,-0.24000000000000002,0.0,8.5,1.71,-1.71,0.0,1
MOA-2007-BLG-192L b,18h08m03.80s,-27d09m00.27s,3.3,4.9,-1.6,0,0.01,0.015000000000000001,-0.005,0,0.62,0.22,-0.16,0,0.060000000000000005,0.028,-0.021,0.0,1000.0,400.0,-400.0,0.0,,,,,2454245.453,,,0.0,-0.0036,,,0.0,74.5,,,0.0,,,,,1.12,,,0.0,1.2,,,0.0,2.021,,,0.0,21.48,,,0.0,,,,,,,,,,,,,1
OGLE-2014-BLG-1722L b,17h55m00.57s,-31d28m08.6s,55.3,51.3,-33.1,0,0.17400000000000002,0.161,-0.10400000000000001,0,1.5,0.6,-0.6,0,0.4,0.36,-0.24000000000000002,0.0,6400.0,1280.0,-1870.0,0.0,,,,,2456900.228,0.009000000000000001,-0.008,0.0,-0.132,0.003,-0.003,0.0,23.797,0.418,-0.38,0.0,7.0,6.0,-5.0,0.0,0.754,0.004,-0.004,0.0,4.451,0.6930000000000001,-0.557,0.0,0.23,0.02,-0.024,0.0,18.87,0.030000000000000002,-0.030000000000000002,0.0,,,,,,,,,,,,,1
OGLE-2014-BLG-0124L b,18h02m29.21s,-28d23m46.5s,150.0,48.0,-48.0,0,0.47000000000000003,0.15,-0.15,0,2.9699999999999998,0.51,-0.51,0,0.65,0.22,-0.22,0.0,4230.0,590.0,-590.0,0.0,,,,,2456836.14,0.04,-0.04,0.0,-0.1778,0.0032,-0.0032,0.0,151.8,2.4,-2.4,0.0,1.37,0.42,-0.42,0.0,0.9429000000000001,0.0023,-0.0023,0.0,7.05,0.38,-0.38,0.0,-1.367,0.002,-0.002,0.0,18.59,0.02,-0.02,0.0,17.79,0.01,-0.01,0.0,0.78,0.25,-0.25,0.0,2.56,0.8300000000000001,-0.8300000000000001,0.0,0
KMT-2017-BLG-0165L b,17h58m35.92s,-28d08m01.21s,,,,0,,,,0,,,,0,,,,,,,,,,,,,2457853.72,0.065,-0.065,0.0,0.036000000000000004,0.011000000000000001,-0.011000000000000001,0.0,41.775,0.846,-0.846,0.0,0.7709,0.1029,-0.1029,0.0,0.9530000000000001,0.012,-0.012,0.0,1.332,0.08600000000000001,-0.08600000000000001,0.0,5.817,0.032,-0.032,0.0,18.43,0.02,-0.02,0.0,,,,,,,,,6.93,1.15,-1.15,0.0,0
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,21.0,2.0,-2.0,0,0.066,0.006,-0.006,0,2.7,,,0,0.38,0.04,-0.04,0.0,3300.0,,,0.0,8000.0,,,0.0,2457205.1979,0.0012000000000000001,-0.0012000000000000001,0.0,0.01136,0.0001,-0.0001,0.0,57.7,0.4,-0.4,0.0,1.408,0.014,-0.014,0.0,1.1141,0.0033,-0.0033,0.0,1.67,0.05,-0.05,0.0,0.885,0.002,-0.002,0.0,,,,,,,,,0.76,0.07,-0.07,0.0,4.8,0.5,-0.5,0.0,0
MOA-2010-BLG-117L b,18h07m49.67s,-25d20m40.7s,170.0,32.0,-32.0,0,0.54,0.1,-0.1,0,2.42,0.26,-0.26,0,0.58,0.11,-0.11,0.0,3500.0,400.0,-400.0,0.0,6900.0,700.0,-700.0,0.0,2455419.8,0.3,-0.3,0.0,0.279,0.015000000000000001,-0.015000000000000001,0.0,120.6,5.2,-5.2,0.0,,,,,0.8601,0.006,-0.006,0.0,9.5,0.33,-0.33,0.0,1.963,0.011000000000000001,-0.011000000000000001,0.0,17.95,0.07,-0.07,0.0,,,,,0.805,0.1,-0.1,0.0,2.46,0.31,-0.31,0.0,1
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,21.0,2.0,-2.0,0,0.066,0.006,-0.006,0,2.1,,,0,0.38,0.04,-0.04,0.0,2500.0,,,0.0,4500.0,,,0.0,2457205.1979,0.0012000000000000001,-0.0012000000000000001,0.0,0.01136,0.0001,-0.0001,0.0,57.7,0.4,-0.4,0.0,1.408,0.014,-0.014,0.0,1.1141,0.0033,-0.0033,0.0,1.67,0.05,-0.05,0.0,0.885,0.002,-0.002,0.0,,,,,,,,,0.76,0.07,-0.07,0.0,4.8,0.5,-0.5,0.0,0
OGLE-2018-BLG-1011L b,17h56m03.36s,-29d04m58.4s,570.0,1100.0,-350.0,0,1.8,3.4,-1.1,0,0.8,0.9,-0.6,0,0.18,0.33,-0.1,0.0,7100.0,1100.0,-1500.0,0.0,8000.0,,,0.0,2458284.818,0.005,-0.005,0.0,0.049,0.001,-0.001,0.0,12.19,0.14,-0.14,0.0,11.26,0.72,-0.72,0.0,0.75,0.005,-0.005,0.0,92.5,2.1,-2.1,0.0,4.361,0.008,-0.008,0.0,19.93,0.01,-0.01,0.0,19.04,0.01,-0.01,0.0,0.09,0.01,-0.01,0.0,2.81,0.22,-0.22,0.0,0
OGLE-2017-BLG-0373L b,17h57m19.06s,-31d57m06.2s,127.0,202.0,-82.0,0,0.401,0.637,-0.257,0,2.424,0.757,-0.783,0,0.248,0.274,-0.133,0.0,5915.0,1123.0,-1478.0,0.0,,,,,2457840.607,0.054,-0.054,0.0,0.41600000000000004,0.011000000000000001,-0.011000000000000001,0.0,11.993,0.243,-0.243,0.0,2.935,0.19,-0.19,0.0,1.376,0.01,-0.01,0.0,15.44,3.52,-3.52,0.0,2.461,0.015000000000000001,-0.015000000000000001,0.0,,,,,,,,,0.28800000000000003,0.029,-0.029,0.0,8.81,0.097,-0.097,0.0,1
MOA-2009-BLG-266L b,17h48m05.95s,-35d00m19.5s,10.4,1.7000000000000002,-1.7000000000000002,0,0.0327,0.0053,-0.0053,0,3.2,1.9,-0.5,0,0.56,0.09,-0.09,0.0,3040.0,330.0,-330.0,0.0,8800.0,,,0.0,2455093.285,0.051000000000000004,-0.051000000000000004,0.0,0.1314,0.0008,-0.0008,0.0,61.54,0.36,-0.36,0.0,3.0543,0.0159,-0.0159,0.0,0.91421,0.00036,-0.00036,0.0,0.545,0.007,-0.007,0.0,2.2708,0.0035,-0.0035,0.0,15.856,0.030000000000000002,-0.030000000000000002,0.0,,,,,0.98,0.04,-0.04,0.0,5.86,0.26,-0.26,0.0,0
MOA-2010-BLG-117L b,18h07m49.67s,-25d20m40.7s,170.0,32.0,-32.0,0,0.54,0.1,-0.1,0,2.42,0.26,-0.26,0,0.58,0.11,-0.11,0.0,3500.0,400.0,-400.0,0.0,6900.0,700.0,-700.0,0.0,2455419.77,0.28,-0.28,0.0,-0.28700000000000003,0.013000000000000001,-0.013000000000000001,0.0,116.4,4.3,-4.3,0.0,,,,,0.8566,0.0051,-0.0051,0.0,9.52,0.33,-0.33,0.0,-1.964,0.01,-0.01,0.0,17.9,0.060000000000000005,-0.060000000000000005,0.0,,,,,0.777,0.095,-0.095,0.0,2.44,0.31,-0.31,0.0,0
OGLE-2012-BLG-0950L b,18h08m04.62s,-29d43m53.7s,31.0,9.0,-5.0,0,0.098,0.030000000000000002,-0.02,0,2.4,0.2,-0.4,0,0.5,0.05,-0.09,0.0,2900.0,600.0,-800.0,0.0,,,,,2456151.47,0.030000000000000002,-0.030000000000000002,0.0,0.101,0.003,-0.003,0.0,68.4,1.5,-1.5,0.0,3.2,,,1.0,0.895,0.004,-0.007,0.0,1.9,0.5,-0.1,0.0,5.081,0.006,-0.006,0.0,19.29,0.030000000000000002,-0.030000000000000002,0.0,,,,,0.9600000000000001,0.12000000000000001,-0.09,0.0,5.1,0.6,-0.5,0.0,0
OGLE-2018-BLG-1011L c,17h56m03.36s,-29d04m58.4s,890.0,1600.0,-540.0,0,2.8,5.1,-1.7000000000000002,0,0.8,0.9,-0.6,0,0.18,0.33,-0.1,0.0,7100.0,1100.0,-1500.0,0.0,8000.0,,,0.0,2458284.868,0.009000000000000001,-0.009000000000000001,0.0,0.047,0.001,-0.001,0.0,12.41,0.21,-0.21,0.0,11.29,0.76,-0.76,0.0,1.9540000000000002,0.048,-0.048,0.0,160.6,17.0,-17.0,0.0,4.733,0.011000000000000001,-0.011000000000000001,0.0,19.93,0.01,-0.01,0.0,19.04,0.01,-0.01,0.0,0.09,0.01,-0.01,0.0,2.81,0.22,-0.22,0.0,0
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,21.0,2.0,-2.0,0,0.066,0.006,-0.006,0,2.1,,,0,0.38,0.04,-0.04,0.0,2500.0,,,0.0,4500.0,,,0.0,2457205.1937,0.0012000000000000001,-0.0012000000000000001,0.0,-0.01152,0.0001,-0.0001,0.0,57.7,0.4,-0.4,0.0,1.4060000000000001,0.013000000000000001,-0.013000000000000001,0.0,1.1147,0.0033,-0.0033,0.0,1.6800000000000002,0.05,-0.05,0.0,-0.88,0.002,-0.002,0.0,,,,,,,,,0.76,0.07,-0.07,0.0,4.8,0.5,-0.5,0.0,0
OGLE-2013-BLG-0341L B b,17h52m07.49s,-29d50m46.0s,,,,0,,,,0,,,,0,,,,,,,,,,,,,2456402.239,0.048,-0.048,0.0,-0.0334,0.0004,-0.0004,0.0,31.97,0.23,-0.23,0.0,3.1032,0.0268,-0.0268,0.0,0.9510000000000001,0.002,-0.002,0.0,1.681,0.154,-0.154,0.0,-0.006500000000000001,0.002,-0.002,0.0,18.6103,0.0088,-0.0088,0.0,,,,,,,,,,,,,0
OGLE-2011-BLG-0265L b,17h57m47.72s,-27d23m40.3s,180.0,79.0,-41.0,0,0.56,0.25,-0.13,0,1.51,0.31,-0.2,0,0.136,0.061,-0.031,0.0,3490.0,710.0,-490.0,0.0,,,,,2455760.0925,0.0085,-0.0085,0.0,,,,,53.33,0.27,-0.27,0.0,,,,,1.0379,0.0008500000000000001,-0.0008500000000000001,0.0,39.23,0.59,-0.59,0.0,0.4531,0.004,-0.004,0.0,17.57,,,0.0,,,,,0.423,0.04,-0.04,0.0,2.89,0.29,-0.29,0.0,0
OGLE-2012-BLG-0358L b,17h42m46.77s,-24d15m39.6s,588.0,60.0,-60.0,0,1.85,0.19,-0.19,0,0.87,0.030000000000000002,-0.030000000000000002,0,0.022000000000000002,0.002,-0.002,0.0,1760.0,130.0,-130.0,0.0,7600.0,,,0.0,2456040.33,0.01,-0.01,0.0,-0.098,0.001,-0.001,0.0,26.46,0.11,-0.11,0.0,2.37,0.01,-0.01,0.0,1.6960000000000002,0.003,-0.003,0.0,1248.6,15.9,-15.9,0.0,0.722,0.001,-0.001,0.0,,,,,,,,,0.29,0.030000000000000002,-0.030000000000000002,0.0,4.02,0.37,-0.37,0.0,1
OGLE-2018-BLG-1269L b,17h58m46.42s,-27d37m04.6s,210.0,130.0,-67.0,0,0.67,0.41000000000000003,-0.21,0,4.51,1.6600000000000001,-1.15,0,1.11,0.68,-0.34,0.0,2510.0,900.0,-610.0,0.0,,,,,2458343.903,0.030000000000000002,-0.030000000000000002,0.0,0.14400000000000002,0.028,-0.028,0.0,70.672,1.661,-1.661,0.0,0.5895,0.0177,-0.0177,0.0,1.123,0.032,-0.032,0.0,5.753,0.264,-0.264,0.0,1.887,0.069,-0.069,0.0,19.42,0.01,-0.01,0.0,,,,,1.6019999999999999,0.11800000000000001,-0.11800000000000001,0.0,8.29,0.61,-0.61,0.0,1
OGLE-2011-BLG-0173L b,17h57m15.78s,-28d14m01.9s,60.0,57.0,-35.0,0,0.19,0.18,-0.11,0,8.0,,,0,0.41000000000000003,0.3,-0.21,0.0,6100.0,1300.0,-1700.0,0.0,,,,,2455689.19,0.043000000000000003,-0.043000000000000003,0.0,0.85,0.036000000000000004,-0.036000000000000004,0.0,29.2,0.8,-0.8,0.0,64.0,39.0,-39.0,0.0,4.66,0.12000000000000001,-0.12000000000000001,0.0,4.6,1.4,-1.4,0.0,2.933,0.0061,-0.0072,0.0,16.272,,,0.0,17.839,,,0.0,0.36,3.03,-0.25,0.0,4.3,2.6,-1.8,0.0,1
OGLE-2012-BLG-0358L b,17h42m46.77s,-24d15m39.6s,578.0,51.0,-51.0,0,1.82,0.16,-0.16,0,0.86,0.02,-0.02,0,0.022000000000000002,0.002,-0.002,0.0,1730.0,120.0,-120.0,0.0,7600.0,,,0.0,2456057.49,0.1,-0.1,0.0,-0.8320000000000001,0.002,-0.002,0.0,25.64,0.08,-0.08,0.0,2.38,0.01,-0.01,0.0,1.7000000000000002,0.002,-0.002,0.0,1228.1,11.8,-11.8,0.0,-5.427,0.002,-0.002,0.0,,,,,,,,,0.29,0.030000000000000002,-0.030000000000000002,0.0,4.02,0.37,-0.37,0.0,0
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,1.43,0.45,-0.32,0,0.0045000000000000005,0.0014,-0.001,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0.0,3910.0,420.0,-460.0,0.0,,,,,2457568.7692,0.0013,-0.0013,0.0,-0.05321,0.00073,-0.00073,0.0,9.96,0.11,-0.11,0.0,2.9,0.34,-0.4,0.0,0.9842000000000001,0.0069,-0.007500000000000001,0.0,0.543,0.082,-0.07,0.0,-0.9684,0.0022,-0.0022,0.0,18.99,0.02,-0.02,0.0,,,,,0.28600000000000003,0.053,-0.038,0.0,8.7,1.6,-1.2,0.0,0
OGLE-2017-BLG-1522L b,18h01m16.65s,-28d27m43.1s,240.0,400.0,-130.0,0,0.75,1.26,-0.4,0,0.59,0.12000000000000001,-0.11,0,0.045,0.076,-0.024,0.0,7490.0,910.0,-880.0,0.0,,,,,2457971.8,0.01,-0.01,0.0,0.0539,0.0034000000000000002,-0.0034000000000000002,0.0,7.53,0.28,-0.28,0.0,6.0,0.7000000000000001,-0.7000000000000001,0.0,1.21,0.01,-0.01,0.0,159.0,16.0,-16.0,0.0,6.22,0.01,-0.01,0.0,,,,,,,,,0.065,0.009000000000000001,-0.009000000000000001,0.0,3.16,0.46,-0.46,0.0,1
OGLE-2012-BLG-0950L b,18h08m04.62s,-29d43m53.7s,20.0,8.0,-3.0,0,0.060000000000000005,0.030000000000000002,-0.01,0,2.2,0.3,-0.3,0,0.31,0.07,-0.05,0.0,3400.0,800.0,-500.0,0.0,,,,,2456151.49,0.030000000000000002,-0.030000000000000002,0.0,0.101,0.003,-0.003,0.0,68.7,1.4,-1.4,0.0,3.0,,,1.0,1.004,0.008,-0.004,0.0,1.9,0.6,-0.1,0.0,5.083,0.006,-0.006,0.0,19.29,0.030000000000000002,-0.030000000000000002,0.0,,,,,0.66,0.04,-0.07,0.0,3.5,0.2,-0.4,0.0,0
KMT-2018-BLG-1990L b,17h53m44.49s,-22d09m09.14s,111.0,42.0,-28.0,0,0.34800000000000003,0.132,-0.08700000000000001,0,0.763,0.219,-0.145,0,0.094,0.036000000000000004,-0.024,0.0,967.0,308.0,-212.0,0.0,,,,,2458230.465,0.024,-0.024,0.0,-0.043000000000000003,0.002,-0.002,0.0,45.908,2.228,-2.228,0.0,1.388,0.157,-0.157,0.0,0.963,0.007,-0.007,0.0,35.29,3.59,-3.59,0.0,3.794,0.021,-0.021,0.0,19.36,0.05,-0.05,0.0,,,,,0.88,0.11,-0.11,0.0,7.1,0.9,-0.9,0.0,1
OGLE-2013-BLG-0341L B b,17h52m07.49s,-29d50m46.0s,2.32,0.27,-0.27,0,0.0073,0.0008500000000000001,-0.0008500000000000001,0,0.883,0.043000000000000003,-0.043000000000000003,0,0.1452,0.0135,-0.0135,0.0,1161.0,93.0,-93.0,0.0,,,,,2456409.362,0.078,-0.078,0.0,-0.0233,0.001,-0.001,0.0,33.41,0.61,-0.61,0.0,3.0943,0.0276,-0.0276,0.0,0.8140000000000001,0.007,-0.007,0.0,0.48000000000000004,0.033,-0.033,0.0,0.1068,0.0107,-0.0107,0.0,18.6028,0.0111,-0.0111,0.0,,,,,,,,,,,,,0
OGLE-2017-BLG-1049L b,17h58m08.05s,-27d08m39.20s,1760.0,1150.0,-912.0,0,5.53,3.62,-2.87,0,3.92,1.1,-1.32,0,0.55,0.36,-0.29,0.0,5670.0,1110.0,-1520.0,0.0,,,,,2457906.453,0.027,-0.027,0.0,0.183,0.002,-0.002,0.0,28.652,0.23900000000000002,-0.23900000000000002,0.0,2.385,0.049,-0.049,0.0,1.32,0.003,-0.003,0.0,95.34,3.86,-3.86,0.0,0.47800000000000004,0.003,-0.003,0.0,,,,,,,,,0.52,0.11,-0.11,0.0,6.66,1.35,-1.35,0.0,1
OGLE-2011-BLG-0173L b,17h57m15.78s,-28d14m01.9s,2200.0,1600.0,-1100.0,0,6.8,5.1,-3.4,0,0.5,,,0,0.43,0.28,-0.21,0.0,5900.0,1200.0,-1600.0,0.0,,,,,2455689.139,0.045,-0.045,0.0,0.844,0.038,-0.038,0.0,29.37,0.86,-0.86,0.0,20.5,8.4,-10.8,0.0,0.2167,0.0057,-0.0061,0.0,151.0,40.0,-28.0,0.0,0.056,0.029,-0.0236,0.0,16.272,,,0.0,17.839,,,0.0,0.76,4.71,-0.43,0.0,4.7,2.5,-1.2,0.0,0
MOA-2013-BLG-605L b,17h58m42.85s,-29d23m53.66s,3.24,0.38,-0.3,0,0.0102,0.0012000000000000001,-0.0009,0,0.93,0.08,-0.08,0,0.024,0.004,-0.003,0.0,850.0,80.0,-80.0,0.0,,,,,2456573.054,0.01,-0.01,0.0,-0.07749,0.0015400000000000001,-0.0015400000000000001,0.0,20.52,0.28,-0.28,0.0,4.13,0.16,-0.16,0.0,2.407,0.014,-0.014,0.0,4.054,0.279,-0.279,0.0,3.3182,0.0102,-0.0102,0.0,18.142,0.02,-0.02,0.0,18.542,0.029,-0.029,0.0,0.452,0.034,-0.034,0.0,7.86,0.61,-0.61,0.0,1
OGLE-2016-BLG-1227L b,17h42m23.31s,-33d45m35.2s,250.0,413.0,-120.0,0,0.79,1.3,-0.39,0,3.4,2.1,-1.0,0,0.1,0.17,-0.05,0.0,,,,,,,,,2457561.999,0.031,-0.031,0.0,0.066,0.012,-0.012,0.0,45.37,8.07,-8.07,0.0,92.0,17.0,-17.0,0.0,3.68,0.21,-0.21,0.0,80.334,48.383,-21.947,0.0,4.783,0.062,-0.062,0.0,16.85,0.01,-0.01,0.0,,,,,0.098,0.044000000000000004,-0.044000000000000004,0.0,0.79,0.1,-0.1,0.0,1
OGLE-2017-BLG-1434L b,17h53m07.29s,-30d14m44.6s,,,,0,,,,0,,,,0,,,,,,,,,,,,,2457984.978,0.004,-0.004,0.0,-0.044000000000000004,0.001,-0.001,0.0,62.981,0.788,-0.788,0.0,0.4679,0.0072,-0.0072,0.0,0.978,0.00030000000000000003,-0.00030000000000000003,0.0,0.5571,0.0077,-0.0077,0.0,-4.556,0.002,-0.002,0.0,,,,,,,,,,,,,,,,,0
MOA-2008-BLG-379L b,17h58m49.44s,-30d11m48.95s,1300.0,540.0,-600.0,0,4.1,1.7000000000000002,-1.9,0,2.7,0.9,-1.0,0,0.56,0.24000000000000002,-0.27,0.0,3300.0,1300.0,-1200.0,0.0,,,,,2454687.897,0.001,-0.001,0.0,0.00602,6e-05,-6e-05,0.0,42.46,0.45,-0.45,0.0,,,,,0.903,0.001,-0.001,0.0,68.5,0.5,-0.5,0.0,5.154,0.002,-0.002,0.0,21.3,0.030000000000000002,-0.030000000000000002,0.0,17.87,,,-1.0,0.9,0.18,-0.18,0.0,7.75,1.56,-1.56,0.0,1
KMT-2017-BLG-1038L b,17h44m41.02s,-25d08m34.91s,640.0,640.0,-350.0,0,2.0,2.0,-1.1,0,1.8,0.6,-0.5,0,0.37,0.36,-0.2,0.0,6000.0,1300.0,-1700.0,0.0,,,,,2457992.829,0.08800000000000001,-0.07100000000000001,0.0,0.17200000000000001,0.007,-0.006,0.0,21.9,0.7000000000000001,-0.6,0.0,4.0,,,1.0,0.851,0.003,-0.003,0.0,53.0,2.0,-4.0,0.0,5.396,0.018000000000000002,0.019,0.0,,,,,,,,,,,,,6.1,2.3,-1.9,0.0,1
OGLE-2014-BLG-1722L b,17h55m00.57s,-31d28m08.6s,,,,0,,,,0,,,,0,,,,,,,,,,,,,2456900.244,0.001,-0.001,0.0,0.133,0.002,-0.002,0.0,23.893,0.202,-0.227,0.0,0.709,0.555,-0.272,0.0,0.753,0.002,-0.002,0.0,4.218,0.28500000000000003,-0.267,0.0,0.23800000000000002,0.002,-0.002,0.0,18.88,0.01,-0.01,0.0,,,,,,,,,,,,,0
MOA-2011-BLG-322L b,18h04m53.6s,-27d13m15.4s,3690.0,4260.0,-1800.0,0,11.6,13.4,-5.6,0,4.3,1.5,-1.2,0,0.39,0.45,-0.19,0.0,7560.0,910.0,-910.0,0.0,,,,,2455774.2729,0.0054,-0.0054,0.0,0.04686,0.00017,-0.00017,0.0,23.17,0.8,-0.8,0.0,7.0,,,1.0,1.822,0.01,-0.01,0.0,284.0,10.0,-10.0,0.0,0.3662,0.0036,-0.0036,0.0,19.83,0.05,-0.05,0.0,16.69,0.02,-0.02,0.0,0.085,,,-1.0,4.7,,,0.0,1
