pl_name,rastr,decstr,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_distlim,ml_dists,ml_distserr1,ml_distserr2,ml_distslim,ml_tsepmin,ml_tsepminerr1,ml_tsepminerr2,ml_tsepminlim,ml_sepminnorm,ml_sepminnormerr1,ml_sepminnormerr2,ml_sepminnormlim,ml_xtimeein,ml_xtimeeinerr1,ml_xtimeeinerr2,ml_xtimeeinlim,ml_radsnorm,ml_radsnormerr1,ml_radsnormerr2,ml_radsnormlim,ml_sepinsnorp,ml_sepinsnorperr1,ml_sepinsnorperr2,ml_sepinsnorplim,ml_massratio,ml_massratioerr1,ml_massratioerr2,ml_massratiolim,ml_angstlax,ml_angstlaxerr1,ml_angstlaxerr2,ml_angstlaxlim,ml_magis,ml_magiserr1,ml_magiserr2,ml_magislim,ml_magibl,ml_magiblerr1,ml_magiblerr2,ml_magibllim,ml_radeinang,ml_radeinangerr1,ml_radeinangerr2,ml_radeinanglim,ml_pmrells,ml_pmrellserr1,ml_pmrellserr2,ml_pmrellslim,ml_modeldef
MOA-2008-BLG-310L b,17h54m14.53s,-34d46m40.99s,74.0,17.0,-17.0,0,0.23,0.05,-0.05,0,1.25,0.1,-0.1,0,0.67,0.14,-0.14,0.0,6000.0,,,-1.0,,,,,2454656.39975,5e-05,-5e-05,0.0,0.003,0.00014000000000000001,-0.00014000000000000001,0.0,11.14,0.5,-0.5,0.0,,,,,1.085,0.003,-0.003,0.0,3.31,0.26,-0.26,0.0,1.21,0.02,-0.02,0.0,19.28,0.05,-0.05,0.0,,,,,0.155,0.011000000000000001,-0.011000000000000001,0.0,5.1,0.030000000000000002,-0.030000000000000002,0.0,0
KMT-2016-BLG-2142L b,17h52m26.88s,-29d23m04.42s,4923.0,7943.0,-2730.0,0,15.49,24.99,-8.58,0,0.8300000000000001,0.15,-0.2,0,0.073,0.117,-0.04,0.0,7010.0,1010.0,-1160.0,0.0,,,,,2457612.54,0.04,-0.04,0.0,0.14,0.01,-0.01,0.0,5.15,0.22,-0.22,0.0,6.42,0.34,-0.34,0.0,0.97,0.01,-0.01,0.0,2030.0,110.0,-110.0,0.0,3.96,0.030000000000000002,-0.030000000000000002,0.0,3.9,0.02,-0.02,0.0,,,,,0.122,0.013000000000000001,-0.013000000000000001,0.0,8.622,0.934,-0.934,0.0,1
OGLE-2018-BLG-0596L b,17h56m13.33s,-29d11m56.7s,13.93,1.56,-1.56,0,0.04383,0.00491,-0.00491,0,0.97,0.13,-0.13,0,0.231,0.028,-0.028,0.0,5650.0,750.0,-750.0,0.0,8580.0,1420.0,-1420.0,0.0,2458277.14,0.015000000000000001,-0.015000000000000001,0.0,0.28400000000000003,0.006,-0.006,0.0,29.003,0.11,-0.11,0.0,13.47,0.49,-0.49,0.0,0.512,0.017,-0.017,0.0,1.827,0.132,-0.132,0.0,6.022,0.011000000000000001,-0.011000000000000001,0.0,17.19,0.01,-0.01,0.0,,,,,0.336,0.034,-0.034,0.0,4.22,0.42,-0.42,0.0,1
OGLE-2013-BLG-0911L b,17h55m31.98s,-29d15m13.8s,,,,0,,,,0,,,,0,,,,,,,,,8000.0,2000.0,-2000.0,0.0,2456537.3111,0.0005,-0.0006000000000000001,0.0,-0.004626,5.3e-05,-5.3e-05,0.0,98.275,1.154,-1.148,0.0,0.971,0.11800000000000001,-0.085,0.0,7.084,0.074,-0.064,0.0,345.6,0.08700000000000001,-0.067,0.0,2.092,0.006,-0.005,0.0,18.104,0.049,-0.049,0.0,,,,,,,,,,,,,0
MOA-2010-BLG-353L b,18h05m12.94s,-27d17m35.64s,86.0,150.0,-51.0,0,0.27,0.48000000000000004,-0.16,0,1.72,0.56,-0.48000000000000004,0,0.18,0.32,-0.11,0.0,6430.0,1090.0,-1150.0,0.0,8000.0,,,0.0,2455381.24,0.060000000000000005,-0.060000000000000005,0.0,-0.79,0.08,-0.08,0.0,11.3,0.7000000000000001,-0.7000000000000001,0.0,21.0,9.0,-9.0,0.0,1.45,0.060000000000000005,-0.060000000000000005,0.0,14.0,4.0,-4.0,0.0,4.17,0.02,-0.02,0.0,17.73,0.3,-0.3,0.0,,,,,0.187,0.089,-0.089,0.0,,,,,1
KMT-2018-BLG-1990L b,17h53m44.49s,-22d09m09.14s,206.0,105.0,-58.0,0,0.649,0.33,-0.181,0,0.9470000000000001,0.377,-0.203,0,0.111,0.057,-0.031,0.0,950.0,411.0,-238.0,0.0,,,,,2458230.343,0.030000000000000002,-0.030000000000000002,0.0,0.039,0.002,-0.002,0.0,45.646,1.833,-1.833,0.0,1.223,0.158,-0.158,0.0,1.115,0.012,-0.012,0.0,55.91,4.32,-4.32,0.0,2.5300000000000002,0.015000000000000001,-0.015000000000000001,0.0,19.36,0.05,-0.05,0.0,,,,,,,,,,,,,0
OGLE-2012-BLG-0950L b,18h08m04.62s,-29d43m53.7s,30.0,11.0,-4.0,0,0.09,0.04,-0.01,0,2.6,0.4,-0.4,0,0.47000000000000003,0.08,-0.07,0.0,2600.0,800.0,-500.0,0.0,,,,,2456151.49,0.030000000000000002,-0.030000000000000002,0.0,0.101,0.003,-0.003,0.0,68.7,1.4,-1.4,0.0,3.0,,,1.0,1.004,0.008,-0.004,0.0,1.9,0.6,-0.1,0.0,5.083,0.006,-0.006,0.0,19.29,0.030000000000000002,-0.030000000000000002,0.0,,,,,0.99,0.08,-0.13,0.0,5.3,0.4,-0.7000000000000001,0.0,0
OGLE-2012-BLG-0950L b,18h08m04.62s,-29d43m53.7s,39.0,13.0,-4.0,0,0.12000000000000001,0.04,-0.01,0,3.1,0.2,-0.5,0,0.63,0.05,-0.1,0.0,3200.0,400.0,-900.0,0.0,,,,,2456151.48,0.02,-0.02,0.0,-0.101,0.003,-0.003,0.0,67.8,1.4,-1.4,0.0,3.1,,,1.0,1.004,0.009000000000000001,-0.003,0.0,1.9,0.6,-0.1,0.0,1.195,0.003,-0.009000000000000001,0.0,19.29,0.030000000000000002,-0.030000000000000002,0.0,,,,,0.99,0.17,-0.060000000000000005,0.0,5.3,0.9,-0.4,0.0,0
KMT-2018-BLG-0029L b,17h37m52.67s,-27d59m04.92s,7.59,0.75,-0.6900000000000001,0,0.0239,0.0024000000000000002,-0.0022,0,4.27,0.21,-0.23,0,1.1400000000000001,0.1,-0.12000000000000001,0.0,3380.0,220.0,-260.0,0.0,8200.0,,,0.0,2458294.716,0.025,-0.025,0.0,0.027,0.003,-0.003,0.0,173.95,15.754,-15.754,0.0,0.4472,0.0692,-0.0692,0.0,1.0,0.002,-0.002,0.0,0.1829,0.0217,-0.0217,0.0,1.5310000000000001,0.005,-0.005,0.0,,,,,,,,,1.56,0.24000000000000002,-0.24000000000000002,0.0,3.3,0.5,-0.5,0.0,1
MOA-2011-BLG-291L b,17h55m28.29s,-29d10m14.4s,18.0,34.0,-12.0,0,0.057,0.11,-0.038,0,0.6900000000000001,0.24000000000000002,-0.24000000000000002,0,0.15,0.27,-0.1,0.0,4400.0,1400.0,-1400.0,0.0,4900.0,1300.0,-1300.0,0.0,2455747.963,0.003,-0.003,0.0,-0.0072900000000000005,0.00027,-0.00027,0.0,23.5,0.7000000000000001,-0.7000000000000001,0.0,,,,,1.197,0.025,-0.025,0.0,3.8,0.7000000000000001,-0.7000000000000001,0.0,3.072,0.01,-0.01,0.0,20.747,0.035,-0.035,0.0,,,,,0.129,0.012,-0.012,0.0,2.01,0.18,-0.18,0.0,1
