kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
1294670,2,,0.822949,1.95296e-05,132.311,0.0082243,0.0002024,4.958e+04,3.893,14.19,97.57,476.9,7.971,1.992,3.459,3.21e+03,648,,,7306.00,212.00,4.04,0.20,,
1294756,1,,0.530191,8.62672e-06,131.977,0.00154581,0.01996,187.7,1.961,1.688,7.329,0.8192,13.55,0.7365,0.4561,4.84e+03,715,,,8629.00,229.00,3.91,0.18,,
1294756,2,,0.530198,1.16462e-05,131.701,0.00217576,0.2837,4.951,1.91,0.6943,5.57,0.7429,10.28,0.6466,0.1671,4.84e+03,715,,,8629.00,229.00,3.91,0.18,,
1296164,1,,1.96105,1.62051e-05,132.309,0.00322682,0.01136,258.5,7.397,4.908,78.97,6.221,15.17,1.646,0.8495,2.23e+03,542,,,6976.00,168.00,4.08,0.21,,
757450,1,,8.88492,2.17899e-06,134.451,0.000138723,0.0001478,460.8,2.088,0.03109,1.769e+04,56.37,375.4,10.06,0.1933,722,286,,,5154.00,90.00,4.54,0.36,,
892667,1,,2.26195,3.3044e-05,132.206,0.00645729,0.8771,0.4106,6.146,4.476,37.02,4.027,9.32,1.204,0.3246,1.98e+03,345,,,6610.00,131.00,4.09,0.18,,
892772,1,,5.09263,9.05722e-05,133.453,0.0114362,0.9845,0.04448,4.243,0.3458,316.1,34.36,13.05,2.322,1.811,827,0.0049,,,4858.00,,4.55,,,
892834,1,,263.614,0.00507852,359.697,0.010188,0.001033,1.071e+04,4.737,3.077,1520,232.2,8.093,2.616,8.484,213,34.6,,,4916.00,76.00,4.61,0.12,,
893647,1,,201.408,0.0469737,258.378,0.0843346,0.4168,138.7,4.522,22.67,1458,2343,4.183,2.629,54.46,232,105,,,4886.00,68.00,4.61,0.33,,
1026133,1,,1.34651,1.31329e-05,132.76,0.00353061,0.633,1.653,5.745,4.92,43.63,3.19,14.43,1.135,0.3355,2.4e+03,504,,,6992.00,154.00,4.17,0.19,,
1160891,1,,0.626993,1.0769e-05,132.04,0.00178176,0.7536,1.095,2.348,2.27,61.09,8.584,10.53,1.473,0.5762,2.83e+03,454,,,5914.00,105.00,4.00,0.19,,
1161345,1,,4.28724,4.15809e-06,133.465,0.000482906,0.5037,1.06,1.539,0.06821,786.3,15.65,94.66,3.841,0.6399,1.28e+03,385,,,5598.00,569.00,4.14,0.26,,
1161345,2,,513.606,0.00755616,154.783,0.00959083,0.1593,121.2,1.743,1.607,607.2,118.6,11.87,3.274,15.01,259,78.2,,,5598.00,569.00,4.14,0.26,,
1162150,1,,0.934255,1.33894e-05,132.001,0.00267023,0.9886,0.03142,1.213,0.2456,91.13,23.36,9.625,6.385,4.408,4.4e+03,453,,,7097.00,202.00,3.41,0.17,,
1162150,2,,0.899372,1.45709e-05,132.181,0.00496144,0.1374,63,3.287,6.382,64.73,8.91,8.421,3.862,6.587,4.46e+03,458,,,7097.00,202.00,3.41,0.17,,
1162345,1,,0.8319,1.18835e-05,131.617,0.00230016,0.07029,61.33,2.59,1.778,30.67,4.843,8.811,0.9992,0.8134,2.78e+03,463,,,6514.00,92.00,4.06,0.17,,
1293031,1,,0.539407,8.83892e-06,131.935,0.00164421,0.3959,4.153,1.982,1.004,45.9,4.989,14.36,1.816,0.6846,3.7e+03,542,,,6349.00,90.00,3.79,0.20,,
1293814,1,,1.18421,1.23371e-05,131.806,0.00239887,0.4947,1.071,3.953,0.6801,16.68,2.331,8.707,0.9366,0.137,3.18e+03,492,,,7906.00,219.00,4.00,0.19,,
1294670,1,,0.593618,1.0896e-05,131.772,0.00363468,0.4518,8.422,2.403,3.751,93.34,12.57,11.29,1.989,1.622,3.58e+03,722,,,7306.00,212.00,4.04,0.20,,
1430590,1,,0.693373,8.75174e-06,131.973,0.0021277,0.001466,4063,1.764,1.056,42.33,13.38,12.77,2.21,2.39,4e+03,440,,,6801.00,170.00,3.66,0.17,,
1430590,2,,0.693481,1.81866e-05,131.597,0.00557901,0.001666,3943,3.351,8.632,21.79,3.568,8.391,1.583,1.88,4e+03,440,,,6801.00,170.00,3.66,0.17,,
1430741,1,,1.41673,1.32738e-05,131.909,0.00243999,0.009192,334.1,3.49,0.9447,98.73,13.38,9.03,2.145,1.167,2.65e+03,518,,,6940.00,202.00,3.97,0.20,,
1430741,2,,1.41679,1.22012e-05,131.513,0.00224341,0.007503,354.1,4.381,1.681,116.6,12.18,11.43,2.331,1.098,2.65e+03,518,,,6940.00,202.00,3.97,0.20,,
1430741,3,,1.41672,1.20903e-05,132.244,0.00253597,0.04476,79.66,2.912,0.6013,103,11.88,11.34,2.193,1.395,2.65e+03,518,,,6940.00,202.00,3.97,0.20,,
1431794,1,,0.625656,7.02975e-06,131.668,0.00116541,0.2822,5.999,1.972,0.5547,232.9,18.22,15.21,3.638,1.223,3.79e+03,605,,,7335.00,199.00,3.93,0.18,,
1431794,2,,2.94465,5.93557e-05,132.662,0.00892971,0.000681,8457,13.1,23.31,163.4,53.48,8.339,3.019,3.166,2.26e+03,361,,,7335.00,199.00,3.93,0.18,,
1431794,3,,0.515957,1.31361e-05,131.778,0.00224879,0.1,49.42,1.5,0.8418,309.9,46.4,10.08,4.174,3.812,4.04e+03,645,,,7335.00,199.00,3.93,0.18,,
1430741,4,,33.7601,0.000469743,140.273,0.00824351,0.1687,65.37,2.616,1.46,853.8,142.7,8.29,6.329,12.82,920,180,,,6940.00,202.00,3.97,0.20,,
1431122,1,,4.29892,2.18353e-05,132.861,0.00269052,0.7143,2.509,2.12,0.3458,265,17.95,16.71,1.539,1.347,1.02e+03,244,,,5461.00,133.00,4.47,0.26,,
1431379,1,,0.560871,1.33852e-05,131.832,0.00151714,0.03768,67.57,2.279,1.562,58.18,9.984,9.037,1.615,0.7184,3.62e+03,520,,,7060.00,124.00,3.99,0.15,,
1431379,2,,0.620451,1.06109e-05,131.601,0.00151565,0.002395,940.1,2.779,2.006,124,17.83,9.279,2.356,0.9147,3.5e+03,503,,,7060.00,124.00,3.99,0.15,,
1429120,1,,0.760668,1.67517e-05,132.225,0.00403563,0.9968,0.03947,0.9331,0.5212,48.91,8.497,9.691,1.618,3.213,2.67e+03,670,,,7042.00,180.00,4.32,0.20,,
1429653,1,,2.33843,2.83332e-05,133.081,0.00550859,0.142,46.27,6.102,3.984,147.4,12.77,13.44,1.411,1.774,1.61e+03,299,,,6511.00,147.00,4.40,0.17,,
1429653,2,,2.33794,4.20181e-05,132.399,0.00847299,0.5826,4.088,5.95,3.011,92.39,10.76,9.278,1.159,0.7662,1.61e+03,299,,,6511.00,147.00,4.40,0.17,,
1430305,1,,359.32,0.00934638,431.337,0.012726,0.2901,25.15,9.256,2.403,287.8,46.46,7.177,3.857,5.729,407,75.6,,,6542.00,139.00,3.91,0.21,,
1432149,3,,186.853,0.00583085,301.629,0.0160242,0.9667,0.01447,6.873,0.6808,386,56.69,7.896,5.49,0.481,558,94.1,,,7500.00,204.00,3.99,0.19,,
1432214,1,,161.788,9.97342e-05,214.038,0.000317706,0.2116,0.04002,5.326,0.02321,9.626e+04,278.7,471.7,30.05,0.08342,341,79.9,,,6067.00,155.00,4.50,0.21,,
1432214,2,,161.775,0.00564015,230.899,0.0192,0.1576,42.05,7.841,3.226,1060,113.6,9.444,3.13,4.346,341,80,,,6067.00,155.00,4.50,0.21,,
1432789,1,,9.93136,9.21531e-05,136.495,0.00550618,0.714,1.534,5.978,0.8747,450.3,22.51,20.59,2.003,0.9567,804,186,,,5828.00,106.00,4.54,0.23,,
