kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
1432789,2,,4.57833,7.63186e-05,132.297,0.009253,0.754,3.097,3.881,0.488,142.9,18.91,7.907,1.144,1.312,1.04e+03,241,,,5828.00,106.00,4.54,0.23,,
1433899,1,,0.520716,1.12929e-05,131.716,0.00209323,0.506,4.607,1.668,1.11,117.9,16.2,11.6,0.8782,0.701,1.92e+03,586,,,5322.00,82.00,4.55,0.31,,
1433980,1,,1.59275,0,132.253,0,0.1,0,6,0,3054,0,,9.485,0,2.17e+03,0,,,6345.00,,4.06,,,
1434660,1,,0.667523,7.68474e-06,131.88,0.0019206,0.3307,6.031,2.086,0.8185,41.4,4.168,13.66,1.209,0.4626,3.27e+03,770,,,7157.00,122.00,4.09,0.21,,
1433399,1,,1.68701,1.41689e-05,133.039,0.00257941,0.2971,6.819,5.495,2.238,64,8.675,8.745,1.511,0.6007,2.3e+03,451,,,6760.00,138.00,4.05,0.21,,
1433399,2,,1.68714,1.22625e-05,131.886,0.00231137,0.1315,17.42,5.048,1.665,75.84,8.056,11.25,1.633,0.6883,2.3e+03,451,,,6760.00,138.00,4.05,0.21,,
1433399,3,,1.68716,1.20513e-05,132.425,0.00231184,0.2148,10.26,5.903,2.75,84.95,7.669,14,1.733,0.7203,2.3e+03,451,,,6760.00,138.00,4.05,0.21,,
1433586,1,,1.74759,2.67282e-05,131.914,0.00654651,0.8283,0.9247,5.428,6.261,32.89,3.811,8.82,1.223,0.5262,2.23e+03,594,,,6502.00,128.00,4.02,0.24,,
1431794,4,,0.515955,1.62942e-05,131.947,0.00208949,0.02109,207.7,1.521,0.772,299.1,52.89,11.35,4.097,3.288,4.04e+03,645,,,7335.00,199.00,3.93,0.18,,
1432091,1,,223.322,0.0100478,169.969,0.026698,0.299,42.82,4.238,4.11,1373,266.7,6.777,2.931,10.18,256,0.00383,,,5514.00,,4.64,,,
1432149,1,,4.68701,9.87239e-05,133.908,0.0100807,0.04939,113.9,15.08,14.34,25.61,3.358,7.759,1.101,1.184,1.91e+03,321,,,7500.00,204.00,3.99,0.19,,
1432149,2,,0.842472,1.47848e-05,131.949,0.00256002,0.08795,69.71,2.201,1.479,28.23,5.779,6.82,1.159,1.39,3.38e+03,570,,,7500.00,204.00,3.99,0.19,,
1573174,3,,0.540708,1.37535e-05,131.818,0.00345049,0.06565,38.55,1.579,0.3734,903.9,124,17.16,6.124,2.741,3.64e+03,627,,,7160.00,163.00,4.03,0.18,,
1573174,4,,0.540737,8.98752e-06,131.658,0.00105181,0.2623,5.446,1.282,0.08529,1110,98.85,20.35,6.837,1.837,,,,,7160.00,163.00,4.03,0.18,,
1573836,1,,3.55697,4.59375e-05,135.032,0.00656577,0.0002689,1.587e+04,7.507,2.154,44.2,168.9,10.59,1.095,0.874,1.66e+03,319,,,6563.00,113.00,4.13,0.18,,
1574792,1,,1.39168,1.57138e-05,131.6,0.00369642,0.01973,218.9,4.592,3.531,31.8,3.915,9.615,1.062,0.8325,2.47e+03,455,,,6791.00,132.00,4.05,0.19,,
1434660,2,,0.667597,1.53667e-05,131.631,0.00303492,0.0002136,2.302e+04,1.933,1.263,36.58,4967,11.18,1.125,0.9454,3.27e+03,770,,,7157.00,122.00,4.09,0.21,,
1434800,1,,3.98671,5.21624e-05,133.445,0.00675303,0.5887,2.008,7.015,0.7707,67.7,8.008,8.453,1.442,0.4594,1.66e+03,382,,,6820.00,155.00,4.13,0.21,,
1434800,2,,0.999266,1.33005e-05,132.235,0.00360394,0.002954,1175,5.104,7.644,53.47,7.537,10.25,1.233,0.7712,2.63e+03,606,,,6820.00,155.00,4.13,0.21,,
1570349,1,,0.580444,8.23537e-06,131.934,0.0037915,0.1228,28.58,4.08,12.44,56.65,11.58,13.6,0.658,0.447,2.07e+03,365,,,5829.00,81.00,4.54,0.20,,
1571717,1,,0.993055,1.20736e-05,131.656,0.00362719,0.3547,6.08,2.862,1.095,25.36,3.061,10.02,1.245,0.5329,3.66e+03,810,,,8347.00,199.00,3.97,0.24,,
1571717,2,,1.01984,1.70613e-05,132.273,0.00505888,0.1542,58.77,2.859,3.438,24.08,3.931,7.768,1.202,1.917,3.62e+03,803,,,8347.00,199.00,3.97,0.24,,
1573174,1,,0.540713,8.41515e-06,131.534,0.00145407,0.005552,451.3,1.522,0.3306,710.3,71.58,14.48,5.428,2.37,3.64e+03,627,,,7160.00,163.00,4.03,0.18,,
1573174,2,,0.540713,2.68409e-05,131.94,0.00339811,0.07167,80.88,1.514,0.8682,412.6,108.4,8.2,4.139,4.194,3.64e+03,627,,,7160.00,163.00,4.03,0.18,,
1575977,1,,0.50737,1.99748e-05,131.818,0.00144156,0.7769,0.8281,1.581,0.901,104.3,22.89,8.651,1.967,0.55,3.56e+03,814,,,7274.00,201.00,4.13,0.22,,
1575977,2,,0.507387,0,131.972,0,0.1,0,1.5,0,553.6,0,,4.206,0,3.56e+03,814,,,7274.00,201.00,4.13,0.22,,
1576115,1,,0.646437,8.85297e-06,131.608,0.00104012,0.06894,33.89,1.519,0.2296,282.2,31.19,13.21,3.561,1.468,3.94e+03,871,,,8287.00,210.00,4.07,0.23,,
1576115,2,,0.646432,7.90995e-06,131.934,0.000997742,0.1105,19.35,1.486,0.1892,307.6,30.26,14.89,3.721,1.409,3.94e+03,871,,,8287.00,210.00,4.07,0.23,,
1576144,1,,2.68672,5.83272e-06,132.068,0.000913591,0.5913,0.4372,5.621,0.1947,102.8,3.457,34.89,2.571,0.1567,2.84e+03,535,,,9198.00,190.00,4.02,0.21,,
1577039,1,,0.592681,8.10043e-05,131.865,0.016052,0.1,437.4,2,16.71,25.45,12.42,2.453,0.5006,4.953,2.17e+03,0.0988,,,5780.00,,4.44,,,
1577039,2,,0.592666,1.03784e-05,131.574,0.00249795,0.003794,688.8,2.905,0.7251,203.8,123.1,11.43,1.413,1.238,2.17e+03,0.0127,,,5780.00,,4.44,,,
1577912,1,,0.942663,1.8083e-05,131.636,0.0043417,0.4423,8.598,1.386,0.233,68.12,13.43,6.621,2.099,1.537,3.97e+03,1.87e+03,,,8966.00,180.00,3.99,0.37,,
1576144,2,,2.68677,1.24711e-05,134.117,0.00190051,0.001195,1550,9.034,3.022,50.24,8.411,17.16,1.739,0.4739,2.84e+03,535,,,9198.00,190.00,4.02,0.21,,
1576144,3,,2.68673,1.2481e-05,132.635,0.00198771,0.1541,9.365,7.168,1.208,45.6,2.786,19.62,1.66,0.369,2.84e+03,535,,,9198.00,190.00,4.02,0.21,,
1576144,4,,2.68295,2.85125e-05,134.057,0.00467668,0.3468,4.829,6.887,1.526,42.13,5.012,10.38,1.608,0.4631,2.84e+03,535,,,9198.00,190.00,4.02,0.21,,
1576144,5,,1.34124,2.66858e-05,132.28,0.00671245,0.3538,6.949,3.628,1.361,23.82,4.604,7.121,1.21,0.5325,3.58e+03,674,,,9198.00,190.00,4.02,0.21,,
1574792,2,,2.78543,4.79148e-05,132.387,0.00718933,0.1224,40.3,10.05,10.67,50.36,6.955,9.617,1.338,1.198,1.96e+03,361,,,6791.00,132.00,4.05,0.19,,
1575690,1,,1.12622,2.63091e-07,132.432,4.66085e-05,0.7572,0.005867,1.755,0.008003,2.699e+04,117.8,489,15.11,0.07545,1.22e+03,9.5e-05,,,4140.00,,4.43,,,
1575690,2,,2.25915,3.43103e-05,133.044,0.00708663,0.4013,4.095,6.876,2.16,297.4,40.42,7.99,1.392,0.9312,967,0.0049,,,4140.00,,4.43,,,
1575873,1,,0.629,1.21891e-05,131.556,0.00175536,0.3769,3.48,1.381,0.194,15.99,2.393,10.98,0.7347,0.2084,3.14e+03,529,,,6742.00,91.00,4.08,0.18,,
1718189,2,,13.0607,0.000119825,137.633,0.00544017,0.2822,15.54,3.095,0.3831,234.7,17.36,14.02,1.348,1.395,733,161,,,5827.00,74.00,4.54,0.21,,
1718594,1,,2.71863,3.28076e-05,132.8,0.00625951,0.2144,14.73,6.414,1.995,21.06,1.611,13.78,1.114,0.6792,2.47e+03,484,,,7823.00,190.00,3.94,0.21,,
1718594,2,,0.543069,1.15902e-05,131.845,0.0018326,0.7197,0.6134,1.13,0.1527,21.34,2.844,12.65,1.201,0.218,4.23e+03,827,,,7823.00,190.00,3.94,0.21,,
1718594,3,,0.679741,1.46006e-05,131.744,0.00523064,0.5609,2.556,2.68,2.132,13.21,2.416,7.384,0.91,0.3637,3.92e+03,768,,,7823.00,190.00,3.94,0.21,,
1718958,1,,1.41978,7.87754e-06,132.916,0.0015428,0.2048,18.9,1.517,0.07231,60.78,5.738,13.93,0.8335,0.6702,1.76e+03,416,,,6176.00,83.00,4.42,0.21,,
1722276,1,,279.197,0.00321048,260.466,0.00630857,0.9998,0.3009,4.445,0.8951,1976,593.7,8.345,8.877,24.68,281,61.1,,,5566.00,91.00,4.33,0.25,,
1724222,1,,0.582866,3.12638e-05,131.928,0.00721819,0.2308,33.9,3.009,11.84,7.298,2.605,3.981,0.5933,0.8502,3.65e+03,615,,,7103.00,118.00,3.97,0.19,,
1724222,2,,1.86886,2.61113e-05,131.819,0.00532745,0.06213,102.2,4.697,2.975,39,5.778,9.333,1.365,1.524,2.47e+03,417,,,7103.00,118.00,3.97,0.19,,
1719308,1,,36.5684,0.0011019,164.903,0.0175496,0.1344,47.46,15.36,1.668,137.1,16.15,9.709,3.261,4.491,882,77.6,,,5882.00,142.00,3.69,0.13,,
1721157,1,,3.44932,2.9488e-05,133.376,0.00413214,0.9674,0.06457,1.707,0.5681,217.1,35.86,8.054,1.418,0.3435,921,342,,,5045.00,86.00,4.63,0.26,,
1721361,1,,3.02286,6.79966e-05,133,0.0112212,0.3697,7.687,12.6,13.8,23.17,2.456,9.689,2.038,0.8838,4e+03,0.03,,,10721.00,,3.65,,,
1721795,1,,0.87087,1.01415e-05,131.976,0.00203039,0.1243,26.39,2.839,1.607,78.65,10.41,10.14,1.212,0.7538,2.43e+03,696,,,6531.00,122.00,4.26,0.22,,
1577912,2,,0.942672,2.71724e-05,132.413,0.00549647,0.3401,14.51,1.874,0.674,61.76,13.69,6.65,1.981,1.726,3.97e+03,1.87e+03,,,8966.00,180.00,3.99,0.37,,
1717722,1,,0.977336,7.40658e-06,131.691,0.00161825,0.9478,0.1065,1.414,0.09995,310.8,31.9,14.75,1.48,0.3591,1.27e+03,25.1,,,4770.00,65.00,4.69,0.02,,
1717722,2,,4.53694,3.71104e-05,132.193,0.00450525,0.9866,0.1767,1.983,0.4139,584.7,68.33,11.45,2.662,6.795,764,15.1,,,4770.00,65.00,4.69,0.02,,
1718189,1,,21.8537,0.000181447,144.317,0.00500392,0.1391,45.69,3.291,0.6712,358.5,22.47,16.99,1.655,2.325,617,136,,,5827.00,74.00,4.54,0.21,,
1724961,2,,1.03737,1.26121e-05,131.866,0.00205902,0.119,26.57,2.711,0.8236,179.5,28.69,7.952,2.77,1.529,3e+03,565,,,7298.00,144.00,4.03,0.20,,
1724961,3,,0.677383,1.61307e-05,131.569,0.00263587,0.0002718,1.581e+04,2.311,1.65,285.1,431.3,7.796,3.488,2.605,3.46e+03,652,,,7298.00,144.00,4.03,0.20,,
1725016,1,,7.40741,6.37786e-05,133.273,0.00546607,0.7283,1.655,3.736,0.7594,547.1,31.51,18.05,2.491,1.456,902,0.00259,,,5665.00,,4.47,,,
1725732,1,,307.227,0.0106364,260.329,0.0190819,0.1116,191.2,2.48,1.391,349,206.6,3.316,80.65,460.3,1.22e+03,61.2,,,5155.00,59.00,1.86,0.09,,
1849159,1,,130.715,0.00284847,145.957,0.0139335,0.2876,32.58,7.722,0.9484,65.16,11.22,6.766,1.111,2.241,441,73.3,,,6205.00,59.00,4.22,0.18,,
1849555,1,,1.673,1.22785e-05,132.256,0.00229292,0.06963,71.27,2.618,0.4394,39.94,4.297,10.52,2.447,2.314,3.32e+03,362,,,7126.00,138.00,3.56,0.16,,
1849702,1,,39.8307,0.000329812,155.648,0.00489261,0.01012,624.4,2.098,0.3987,392.7,36.92,11.24,1.38,2.331,418,20.3,,,5176.00,62.00,4.64,0.05,,
1865042,1,,3.48162,1.43578e-05,132.983,0.002076,0.7276,0.9082,1.78,0.09904,142.5,8.865,18.59,0.9611,0.3393,980,38.4,,,5305.00,59.00,4.62,0.05,,
1849235,1,,3.04256,6.07155e-05,132.284,0.010001,0.00399,1412,11.72,13.83,417.4,33.23,12.08,2.02,2.57,1.26e+03,0.00837,,,5780.00,,4.44,,,
1849235,2,,0.610541,4.85017e-05,131.913,0.0123319,0.1,291.5,2,9.701,132.6,69.26,2.903,1.143,7.581,2.15e+03,0.0569,,,5780.00,,4.44,,,
1849235,3,,0.61054,6.05921e-05,132.072,0.0184336,0.09839,472.2,1.5,5.813,143.7,89.42,2.548,1.192,12.59,2.15e+03,0.0711,,,5780.00,,4.44,,,
1849235,4,,0.61054,5.1862e-05,131.616,0.00960393,0.1,274,1.5,3.373,173.4,95.07,3.116,1.309,8.165,2.15e+03,0.0608,,,5780.00,,4.44,,,
1724513,1,,1.97522,1.27642e-05,131.626,0.0024773,0.7085,1.125,1.589,0.1019,79.54,8.205,12.04,1.296,0.4055,1.78e+03,363,,,6201.00,105.00,4.23,0.19,,
1724719,1,,5.79196,5.46532e-05,133.346,0.0052908,0.9287,0.2032,3.585,0.5705,123.1,9.98,12.62,1.475,0.3674,1.12e+03,323,,,6176.00,115.00,4.39,0.24,,
1724719,2,,10.0991,0.000164417,132.313,0.00947089,0.4132,9.359,3.291,0.3342,104.2,13.73,7.631,1.144,1.06,933,268,,,6176.00,115.00,4.39,0.24,,
1724961,1,,1.03738,1.43184e-05,132.369,0.0020715,0.2658,9.722,3.398,1.605,169.9,30.71,7.096,2.708,1.282,3e+03,565,,,7298.00,144.00,4.03,0.20,,
1869607,2,,24.1144,0.00081221,145.961,0.0200679,0.1191,54.08,16.47,0.9178,93.78,18.11,5.569,2.962,3.994,1.07e+03,98.7,,,5971.00,150.00,3.64,0.12,,
1870398,1,,43.1352,0.00162008,132.293,0.0226379,0.007532,1153,15.66,2.851,180.5,21.19,9.23,1.454,2.497,572,110,,,6200.00,132.00,4.41,0.17,,
1870849,1,,0.566092,8.73895e-06,131.89,0.00330162,0.8731,1.217,1.874,5.56,70.94,8.449,13.64,0.9786,0.9034,2.2e+03,0.0113,,,5780.00,,4.44,,,
1870849,2,,0.566093,1.03259e-05,131.606,0.00328446,0.00516,1581,2.473,6.251,79.28,9.594,12.74,0.8818,1.62,2.2e+03,0.0134,,,5780.00,,4.44,,,
1865567,1,,1.34944,7.58813e-06,132.585,0.00158653,0.02198,144.4,2.722,0.5454,19.1,1.493,15.1,0.7343,0.3282,3.2e+03,748,,,9906.00,204.00,4.33,0.20,,
1865567,2,,1.3495,4.42561e-06,132.309,0.00163697,0.1082,9.852,4.8,1.054,54.88,1.945,32.09,1.245,0.194,3.2e+03,748,,,9906.00,204.00,4.33,0.20,,
1865567,3,,1.34948,4.03996e-06,131.906,0.00203022,0.04166,20.39,5.51,1.265,65.31,2.061,39.99,1.357,0.1647,3.2e+03,748,,,9906.00,204.00,4.33,0.20,,
1865567,4,,0.674718,4.7705e-06,132.074,0.00149016,0.03064,150.8,1.591,0.6107,34.71,3.779,12.52,0.9915,0.6337,4.03e+03,942,,,9906.00,204.00,4.33,0.20,,
1866252,1,,0.700512,9.66641e-06,132.143,0.00204487,0.9093,0.5445,1.34,1.026,40.66,5.062,11.55,0.9287,0.4862,2.37e+03,449,,,6091.00,112.00,4.28,0.20,,
1867844,1,,0.70135,1.01083e-05,131.556,0.00130337,0.844,0.3578,0.9686,0.09697,35.54,4.331,13.51,0.6842,0.1573,2.05e+03,0.00985,,,5780.00,,4.44,,,
1867844,2,,0.701337,1.44706e-05,131.92,0.00164283,0.9959,0.05523,0.7195,0.4789,31.37,5.405,11.1,0.9782,2.885,2.05e+03,0.0141,,,5780.00,,4.44,,,
1869607,1,,12.0586,0.00028682,136.073,0.0141551,0.001316,3890,14.97,0.9266,93.65,30.87,7.824,2.955,3.131,1.35e+03,124,,,5971.00,150.00,3.64,0.12,,
1872821,1,,10.2736,7.67132e-05,134.663,0.00445089,0.3487,18.61,3.19,0.857,427.8,26.82,16.45,1.758,2.924,767,366,,,5706.00,79.00,4.56,0.33,,
1872948,1,,2.77215,3.16265e-05,131.797,0.00513677,0.002873,721.2,9.991,4.509,14.5,1.389,10.71,1.59,0.6255,3.1e+03,315,,,7706.00,194.00,3.54,0.15,,
1872948,2,,2.77218,3.10759e-05,133.172,0.00514561,0.04216,65.36,10.37,6.735,14.61,1.23,13.31,1.596,0.833,3.1e+03,315,,,7706.00,194.00,3.54,0.15,,
1995431,1,,3.82358,0.000118096,135.062,0.0162532,0.5664,1.802,11.66,3.993,9.953,1.443,6.997,0.4671,0.1239,1.7e+03,500,,,7569.00,201.00,4.31,0.22,,
1995519,1,,19.9402,0.000222685,142.346,0.00692595,0.7859,1.039,3.916,1.116,835.6,64.6,13.78,2.651,1.276,605,59.3,,,5651.00,79.00,4.57,0.12,,
1996180,1,,3.02559,1.71358e-05,134.363,0.0028394,0.7751,0.9389,3.103,0.1114,132.4,8.011,17.5,1.288,0.4512,1.34e+03,277,,,6176.00,97.00,4.46,0.19,,
1996180,2,,5.42199,7.30385e-05,133.465,0.00749724,0.9212,0.5937,2.829,0.9178,85.36,11.45,7.655,1.133,0.7311,1.11e+03,228,,,6176.00,97.00,4.46,0.19,,
2010191,1,,3.4353,2.03069e-05,132.633,0.00303411,0.1073,39.03,2.705,0.17,208.1,13.66,16.91,1.523,1.307,1.3e+03,416,,,6110.00,120.00,4.41,0.26,,
1995732,1,,77.3626,4.23259e-05,139.094,0.000328324,0.9739,0.5901,12.18,0.07607,1.1e+05,602.1,900,42.62,37.94,361,123,,,5344.00,90.00,4.57,0.31,,
1995732,2,,77.3603,5.11818e-05,171.325,0.000379762,0.9352,0.06973,13.7,0.02723,7.816e+04,127.8,792,33.54,4.177,361,123,,,5344.00,90.00,4.57,0.31,,
1996021,1,,3.5254,7.25235e-05,134.123,0.0105732,0.1023,57.12,12.89,16.59,49.74,6.004,9.181,0.7774,0.8756,1.35e+03,197,,,6377.00,60.00,4.42,0.12,,
1996021,2,,7.0981,0.000234209,135.572,0.0183722,0.5466,3.827,14.42,3.41,64.4,9.075,7.596,0.9145,0.5161,1.07e+03,156,,,6377.00,60.00,4.42,0.12,,
1871056,1,,40.8063,0.000327683,155.715,0.00476857,0.001046,1760,12.82,0.666,294.1,45.22,25.51,4.164,1.518,844,105,,,6235.00,115.00,3.80,0.17,,
1871056,2,,140.104,0.00271913,216.216,0.00971667,0.6124,0.8369,17.99,0.7718,286,18.87,14.7,4.302,0.7029,560,69.5,,,6235.00,115.00,3.80,0.17,,
1872262,1,,1.50198,1.58665e-05,131.872,0.00351055,0.4284,3.867,4.064,1.136,58.87,6.965,9.222,1.147,0.3995,2.23e+03,554,,,7120.00,185.00,4.26,0.21,,
1872262,2,,1.50173,1.50544e-05,131.608,0.00351165,0.001669,2200,4.719,2.663,80.82,7.541,12.14,1.32,0.8445,2.23e+03,554,,,7120.00,185.00,4.26,0.21,,
2011424,3,,0.521204,1.19063e-05,131.924,0.0011794,0.2058,9.384,1.519,0.424,69.8,8.495,19.76,1.631,0.6023,3.46e+03,578,,,6782.00,87.00,4.03,0.18,,
2012722,1,,2.32609,1.53794e-05,131.856,0.00267071,0.02756,162.1,2.482,0.152,32.61,3.676,10.6,0.9618,0.7546,2.03e+03,408,,,7030.00,99.00,4.15,0.20,,
2012722,2,,2.32664,1.5133e-05,133.149,0.00266806,0.0001544,1.197e+04,3.477,0.1995,34.97,3726,12.07,0.9952,0.3248,2.03e+03,408,,,7030.00,99.00,4.15,0.20,,
