kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
5457326,K04508.01,,CANDIDATE,CANDIDATE,,0,0,0,0,2.49915311,1.527e-05,-1.527e-05,133.08978,0.00454,-0.00454,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h37m29.64s,+40d39m05.2s,15.352,
11513486,K04748.01,,CANDIDATE,CANDIDATE,,0,0,0,0,6.64754478,4.141e-05,-4.141e-05,137.13371,0.00517,-0.00517,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h39m08.24s,+49d29m31.6s,15.724,
6520519,K04749.01,,CANDIDATE,CANDIDATE,,0,0,0,0,1.97650073,1.096e-05,-1.096e-05,132.95624,0.00456,-0.00456,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h24m50.79s,+41d59m08.2s,15.608,
5308296,K04750.01,,CANDIDATE,CANDIDATE,,0,0,0,0,36.721576,0.001305,-0.001305,151.2481,0.023,-0.023,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h57m58.05s,+40d28m20.9s,15.919,
9953575,K04751.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,362.69427,0.01607,-0.01607,154.1124,0.0368,-0.0368,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h31m08.62s,+46d48m30.3s,14.730,
7887890,K04752.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,370.35639,0.02818,-0.02818,425.9854,0.0405,-0.0405,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h22m58.25s,+43d36m16.0s,15.189,
4544628,K04753.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,0.729724346,6.061e-06,-6.061e-06,132.04276,0.00806,-0.00806,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h03m36.43s,+39d39m15.9s,12.546,
10291589,K04754.01,,CANDIDATE,CANDIDATE,,0,0,0,0,7.08757462,8.132e-05,-8.132e-05,138.27614,0.00932,-0.00932,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h51m37.26s,+47d20m12.6s,15.274,
10118266,K04755.01,,CANDIDATE,CANDIDATE,,0,0,0,0,3.74318005,1.612e-05,-1.612e-05,135.13816,0.0035,-0.0035,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,18h42m39.65s,+47d06m50.6s,14.924,
5695615,K04756.01,,CANDIDATE,CANDIDATE,,0,0,0,0,5.4169303,0.0001099,-0.0001099,133.7916,0.0155,-0.0155,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h14m26.54s,+40d55m29.1s,15.411,
3340312,K00441.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,30.5528972,0.00013,-0.00013,173.90269,0.00345,-0.00345,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h23m51.25s,+38d28m21.2s,14.532,
7435780,K04757.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,1,0.933157032,5.568e-06,-5.568e-06,132.35981,0.00425,-0.00425,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h15m54.21s,+43d05m57.0s,15.013,
8938937,K04758.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,37.1083458,0.0008995,-0.0008995,166.2453,0.0181,-0.0181,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h03m12.44s,+45d13m00.6s,15.948,
7949593,K04759.01,,CANDIDATE,CANDIDATE,,0,0,0,0,17.7662938,0.000263,-0.000263,146.6886,0.0119,-0.0119,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h11m05.52s,+43d44m02.1s,14.971,
9474232,K04760.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,13.6917833,0.0001493,-0.0001493,133.78898,0.00738,-0.00738,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h41m30.25s,+46d02m51.3s,14.565,
3859151,K04761.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,25.95633,0.002257,-0.002257,154.7054,0.0723,-0.0723,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h35m02.76s,+38d59m57.2s,14.876,
7098255,K04762.01,,CANDIDATE,CANDIDATE,,0,0,0,0,11.56722589,9.733e-05,-9.733e-05,132.25385,0.00716,-0.00716,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,18h58m26.42s,+42d41m14.8s,15.674,
8349399,K04763.01,,CANDIDATE,CANDIDATE,,0,0,0,0,56.446465,0.001205,-0.001205,170.59,0.0159,-0.0159,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,18h57m31.80s,+44d18m29.6s,14.046,
