star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 61629,HIP 61629,,GJ 479,2MASS J12375231-5200055,1,0,0,0,0,0,0,12h37m53.20s,-52d00m05.6s,9.69,0.20,-0.19,10.660,0.010,Koen,1.540,0.010,Koen,M3,0.030,0.110,V-K
GJ 480,HIP 61706,,GJ 480,2MASS J12385241+1141461,1,0,0,0,0,0,1,12h38m53.13s,+11d41m48.3s,14.37,0.60,-0.55,11.490,0.000,G,1.480,0.000,G,M4,0.030,0.130,V-K
HIP 61722,HIP 61722,,GJ 3738,2MASS J12390461+4702234,1,0,0,0,0,0,0,12h39m04.37s,+47d02m24.1s,21.79,2.42,-1.98,11.960,0.370,VT,1.720,0.370,BVT-Red,M2,0.030,0.700,V-K
HIP 61792 A,HIP 61792 A,HD 109952 A,GJ 2096,2MASS J12395106-7750360 A,1,0,0,0,0,0,0,12h39m53.49s,-77d50m38.9s,26.36,1.39,-1.26,9.220,0.040,VT,1.150,0.040,BVT-Red,K5V,0.250,0.150,V-K
HIP 61874,HIP 61874,,GJ 480.1,2MASS J12404633-4333595,1,0,0,0,0,0,0,12h40m46.92s,-43d34m05.0s,7.78,0.24,-0.23,12.240,0.010,Koen,1.730,0.010,Koen,M4,0.000,0.120,V-K
HIP 61901,HIP 61901,HD 110315,GJ 481,2MASS J12410647+1522359,1,0,0,0,0,0,0,12h41m06.41s,+15d22m39.3s,14.18,0.14,-0.14,7.890,0.010,Koen,1.140,0.010,Koen,K2,0.210,0.050,V-K
HIP 61941 A,HIP 61941 A,HD 110379,GJ 482 A,2MASS J12413962-0126580 A,1,1,1,0,0,0,0,12h41m40.00s,-01d26m58.3s,11.68,0.12,-0.12,3.440,0.020,VT-G,0.360,0.020,BVT-G-Blue,F1V,5.280,0.060,V-K
HIP 61946,HIP 61946,HD 110463,GJ 3743,2MASS J12414450+5543288,1,0,0,0,0,0,0,12h41m44.40s,+55d43m28.9s,23.38,0.48,-0.46,8.270,0.000,G,0.960,0.000,G,K3V,0.300,0.050,V-K
HIP 62107,HIP 62107,HD 110619,,2MASS J12434277-3742291,1,0,0,0,0,0,0,12h43m43.19s,-37d42m27.5s,27.31,0.56,-0.54,7.530,0.000,G,0.660,0.010,G,G5V,0.670,0.040,V-K
HIP 62145,HIP 62145,HD 110833,GJ 483,2MASS J12441457+5145336,1,0,0,1,0,0,0,12h44m14.90s,+51d45m35.1s,14.88,0.15,-0.15,7.010,0.020,VT,0.940,0.010,G,K3V,0.380,0.050,V-K
