kelt_sourceid,kelt_field,kelt_orientation,proc_type,kelt_proc_version,ra,dec,kelt_mag,obsstart,obsstop,bjdstart,bjdstop,mean,stddevwrtmean,median,stddevwrtmedian,npts,n5sigma,f5sigma,medabsdev,chisquared,range595,minvalue,maxvalue
KELT_N02_lc_069077_V01_east,N02,west,tfa,V01,41.74629,35.98437,10.204,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.186490,0.022080,10.184970,0.022132,595,4,0.006723,0.008540,1219.045758,0.050340,10.065130,10.341050
KELT_N02_lc_069110_V01_east,N02,east,tfa,V01,39.33770,39.89537,10.774,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.794243,0.017480,10.790680,0.017839,1748,7,0.004005,0.007210,466.061258,0.053520,10.725100,10.886820
KELT_N02_lc_069110_V01_east,N02,west,tfa,V01,39.33770,39.89537,10.905,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.904448,0.004030,10.904240,0.004035,599,0,0.000000,0.002560,17.231201,0.013090,10.890850,10.922310
KELT_N02_lc_055435_V01_east,N02,west,tfa,V01,18.44318,27.13109,10.994,2006-10-27 07:06:26.0,2008-11-24 09:20:47.0,2454035.796138,2454794.889436,11.042568,0.028196,11.041615,0.028212,594,1,0.001684,0.015995,811.588666,0.083210,10.948190,11.184880
KELT_N02_lc_069298_V01_east,N02,east,tfa,V01,27.17162,32.68880,9.622,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,9.630880,0.003706,9.630520,0.003723,1789,3,0.001677,0.001970,156.273900,0.012010,9.608440,9.653720
KELT_N02_lc_069298_V01_east,N02,west,tfa,V01,27.17162,32.68880,9.413,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,9.417113,0.004450,9.417210,0.004451,597,0,0.000000,0.002660,282.262717,0.014410,9.399100,9.431610
KELT_N02_lc_069453_V01_east,N02,east,tfa,V01,23.95777,33.83437,10.245,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.253165,0.006948,10.252600,0.006971,1777,2,0.001125,0.003720,184.415899,0.020640,10.211860,10.289730
KELT_N02_lc_069453_V01_east,N02,west,tfa,V01,23.95777,33.83437,10.267,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.277427,0.011052,10.276775,0.011071,596,2,0.003356,0.005605,417.930178,0.033000,10.249610,10.354920
KELT_N02_lc_055562_V01_east,N02,east,tfa,V01,36.01181,42.10189,10.513,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.530882,0.010875,10.529195,0.011005,1758,7,0.003982,0.005250,242.406343,0.032380,10.502830,10.601610
KELT_N02_lc_055562_V01_east,N02,west,tfa,V01,36.01181,42.10189,10.288,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.281355,0.014301,10.279480,0.014423,595,5,0.008403,0.006430,516.273629,0.035200,10.250480,10.375530
KELT_N02_lc_059867_V01_east,N02,east,tfa,V01,43.56125,42.59019,10.993,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,11.006843,0.013523,11.004775,0.013680,1752,5,0.002854,0.006810,255.394136,0.040960,10.960830,11.091320
KELT_N02_lc_059867_V01_east,N02,west,tfa,V01,43.56125,42.59019,10.948,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.948541,0.003138,10.948440,0.003139,599,0,0.000000,0.001960,9.569118,0.010680,10.938850,10.958460
KELT_N02_lc_059997_V01_east,N02,east,tfa,V01,21.12506,23.94234,10.764,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.722723,0.047740,10.715720,0.048251,1768,0,0.000000,0.026960,2525.254689,0.152000,10.511980,10.937670
