star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 6537,HIP 6537,HD 8512,,2MASS J01240142-0810596,0,1,0,0,0,0,0,01h24m01.40s,-08d10m59.7s,35.11,0.92,-0.98,3.590,,,1.060,,,K0 III,,,
HIP 6686,HIP 6686,HD 8538,GJ 58.1,2MASS J01254889+6014070,0,1,0,0,0,0,0,01h25m48.95s,+60d14m07.0s,30.48,0.56,-0.59,2.680,,,0.130,,,A5 IV,,,
HIP 10670,HIP 10670,HD 14055,,2MASS J02171888+3350500,0,1,0,0,0,0,0,02h17m18.87s,+33d50m49.9s,36.06,1.06,-1.13,4.010,,,0.020,,,A0,,,
HIP 14668,HIP 14668,HD 19476,,2MASS J03092976+4451271,0,1,0,0,0,0,0,03h09m29.77s,+44d51m27.2s,34.42,0.76,-0.80,3.810,,,0.980,,,K0,,,
HIP 18907,HIP 18907,HD 25490,,2MASS J04030936+0559214,0,1,0,0,0,0,0,04h03m09.38s,+05d59m21.5s,39.62,1.32,-1.41,3.910,,,0.030,,,A0.5 Va,,,
HIP 19747,HIP 19747,HD 26967,,2MASS J04140010-4217396,0,1,0,0,0,0,0,04h14m00.11s,-42d17m39.7s,35.91,0.65,-0.67,3.860,,,1.100,,,K2 III,,,
HIP 27654,HIP 27654,HD 39364,,2MASS J05511928-2052440,0,1,0,0,0,0,0,05h51m19.30s,-20d52m44.7s,34.42,0.72,-0.75,3.850,,,0.980,,,G8 III/IV,,,
HIP 35350,HIP 35350,HD 56537,GJ 9231 A,2MASS J07180560+1632255,0,1,0,0,0,0,0,07h18m05.58s,+16d32m25.4s,28.91,0.76,-0.80,3.580,,,0.120,,,A2,,,
HIP 36046,HIP 36046,HD 58207,,2MASS J07254359+2747529,0,1,0,0,0,0,0,07h25m43.60s,+27d47m53.1s,38.61,1.31,-1.41,3.790,,,1.040,,,K0,,,
HIP 41312,HIP 41312,HD 71878,GJ 3499,2MASS J08254423-6608127,0,1,0,0,0,0,0,08h25m44.19s,-66d08m12.8s,33.10,0.49,-0.50,3.770,,,1.130,,,K1 III,,,
HIP 45238,HIP 45238,HD 80007,GJ 339.2,2MASS J09131197-6943017,0,1,0,0,0,0,0,09h13m11.98s,-69d43m02.0s,34.08,0.54,-0.56,1.680,,,0.000,,,A1 III,,,
HIP 48319,HIP 48319,HD 84999,,2MASS J09505935+5902192,0,1,0,0,0,0,0,09h50m59.36s,+59d02m19.4s,35.27,0.81,-0.85,3.810,,,0.290,,,F0,,,
